TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,2320,MsMpEng.exe,0x23712d50000,0x23712d5dfff,VadS,PAGE_EXECUTE_READWRITE,14,1,Disabled,N/A,"
28 00 00 00 00 00 00 00 f8 38 7b 16 00 f8 ff ff (........8{.....
10 00 00 00 00 00 00 00 00 50 7b 16 00 f8 ff ff .........P{.....
00 00 00 00 00 00 00 00 28 00 00 00 00 00 00 00 ........(.......
d8 38 7b 16 00 f8 ff ff 30 00 00 00 00 00 00 00 .8{.....0.......","
0x23712d50000:	sub	byte ptr [rax], al
0x23712d50002:	add	byte ptr [rax], al
0x23712d50004:	add	byte ptr [rax], al
0x23712d50006:	add	byte ptr [rax], al
0x23712d50008:	clc	
0x23712d50009:	cmp	byte ptr [rbx + 0x16], bh
0x23712d5000c:	add	al, bh"
0,2320,MsMpEng.exe,0x237133e0000,0x237135dffff,VadS,PAGE_EXECUTE_READWRITE,512,1,Disabled,N/A,"
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc 0c 00 4e 00 0c 00 01 05 48 8b 55 28 48 8b 8d ...N.....H.U(H..","
0x237133e0000:	int3	
0x237133e0001:	int3	
0x237133e0002:	int3	
0x237133e0003:	int3	
0x237133e0004:	int3	
0x237133e0005:	int3	
0x237133e0006:	int3	
0x237133e0007:	int3	
0x237133e0008:	int3	
0x237133e0009:	int3	
0x237133e000a:	int3	
0x237133e000b:	int3	
0x237133e000c:	int3	
0x237133e000d:	int3	
0x237133e000e:	int3	
0x237133e000f:	int3	
0x237133e0010:	int3	
0x237133e0011:	int3	
0x237133e0012:	int3	
0x237133e0013:	int3	
0x237133e0014:	int3	
0x237133e0015:	int3	
0x237133e0016:	int3	
0x237133e0017:	int3	
0x237133e0018:	int3	
0x237133e0019:	int3	
0x237133e001a:	int3	
0x237133e001b:	int3	
0x237133e001c:	int3	
0x237133e001d:	int3	
0x237133e001e:	int3	
0x237133e001f:	int3	
0x237133e0020:	int3	
0x237133e0021:	int3	
0x237133e0022:	int3	
0x237133e0023:	int3	
0x237133e0024:	int3	
0x237133e0025:	int3	
0x237133e0026:	int3	
0x237133e0027:	int3	
0x237133e0028:	int3	
0x237133e0029:	int3	
0x237133e002a:	int3	
0x237133e002b:	int3	
0x237133e002c:	int3	
0x237133e002d:	int3	
0x237133e002e:	int3	
0x237133e002f:	int3	
0x237133e0030:	int3	
0x237133e0031:	or	al, 0
0x237133e0033:	add	byte ptr [rax + r8], r9b
0x237133e0037:	add	dword ptr [rip + 0x28558b48], eax"
0,2320,MsMpEng.exe,0x237132e0000,0x237133dffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc 04 00 26 00 00 00 01 02 48 8b 45 20 48 89 c2 ...&.....H.E H..","
0x237132e0000:	int3	
0x237132e0001:	int3	
0x237132e0002:	int3	
0x237132e0003:	int3	
0x237132e0004:	int3	
0x237132e0005:	int3	
0x237132e0006:	int3	
0x237132e0007:	int3	
0x237132e0008:	int3	
0x237132e0009:	int3	
0x237132e000a:	int3	
0x237132e000b:	int3	
0x237132e000c:	int3	
0x237132e000d:	int3	
0x237132e000e:	int3	
0x237132e000f:	int3	
0x237132e0010:	int3	
0x237132e0011:	int3	
0x237132e0012:	int3	
0x237132e0013:	int3	
0x237132e0014:	int3	
0x237132e0015:	int3	
0x237132e0016:	int3	
0x237132e0017:	int3	
0x237132e0018:	int3	
0x237132e0019:	int3	
0x237132e001a:	int3	
0x237132e001b:	int3	
0x237132e001c:	int3	
0x237132e001d:	int3	
0x237132e001e:	int3	
0x237132e001f:	int3	
0x237132e0020:	int3	
0x237132e0021:	int3	
0x237132e0022:	int3	
0x237132e0023:	int3	
0x237132e0024:	int3	
0x237132e0025:	int3	
0x237132e0026:	int3	
0x237132e0027:	int3	
0x237132e0028:	int3	
0x237132e0029:	int3	
0x237132e002a:	int3	
0x237132e002b:	int3	
0x237132e002c:	int3	
0x237132e002d:	int3	
0x237132e002e:	int3	
0x237132e002f:	int3	
0x237132e0030:	int3	
0x237132e0031:	add	al, 0
0x237132e0033:	add	byte ptr es:[rax], al
0x237132e0036:	add	byte ptr [rcx], al
0x237132e0038:	add	cl, byte ptr [rax - 0x75]
0x237132e003b:	and	byte ptr [r8 - 0x77], r9b"
0,2320,MsMpEng.exe,0x23714020000,0x2371412cfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................","
0x23714020000:	add	byte ptr [rax], al
0x23714020002:	add	byte ptr [rax], al
0x23714020004:	add	byte ptr [rax], al
0x23714020006:	add	byte ptr [rax], al
0x23714020008:	add	byte ptr [rax], al
0x2371402000a:	add	byte ptr [rax], al
0x2371402000c:	add	byte ptr [rax], al
0x2371402000e:	add	byte ptr [rax], al
0x23714020010:	add	byte ptr [rax], al
0x23714020012:	add	byte ptr [rax], al
0x23714020014:	add	byte ptr [rax], al
0x23714020016:	add	byte ptr [rax], al
0x23714020018:	add	byte ptr [rax], al
0x2371402001a:	add	byte ptr [rax], al
0x2371402001c:	add	byte ptr [rax], al
0x2371402001e:	add	byte ptr [rax], al
0x23714020020:	add	byte ptr [rax], al
0x23714020022:	add	byte ptr [rax], al
0x23714020024:	add	byte ptr [rax], al
0x23714020026:	add	byte ptr [rax], al
0x23714020028:	add	byte ptr [rax], al
0x2371402002a:	add	byte ptr [rax], al
0x2371402002c:	add	byte ptr [rax], al
0x2371402002e:	add	byte ptr [rax], al
0x23714020030:	add	byte ptr [rax], al
0x23714020032:	add	byte ptr [rax], al
0x23714020034:	add	byte ptr [rax], al
0x23714020036:	add	byte ptr [rax], al
0x23714020038:	add	byte ptr [rax], al
0x2371402003a:	add	byte ptr [rax], al
0x2371402003c:	add	byte ptr [rax], al
0x2371402003e:	add	byte ptr [rax], al"
0,2320,MsMpEng.exe,0x237142f0000,0x237143fcfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
00 06 01 02 04 00 00 00 0f 00 00 00 6f 78 6d 6f ............oxmo
6f 6e 6c 69 6e 74 2e 63 6f 6d 5e 00 88 2f f1 ff onlint.com^../..
00 06 01 02 04 00 00 00 10 00 00 00 6f 78 6c 7a ............oxlz
63 79 6a 7a 79 70 69 2e 63 6f 6d 5e 00 00 00 00 cyjzypi.com^....","
0x237142f0000:	add	byte ptr [rsi], al
0x237142f0002:	add	dword ptr [rdx], eax
0x237142f0004:	add	al, 0
0x237142f0006:	add	byte ptr [rax], al
0x237142f0008:	sldt	word ptr [rax]
0x237142f000b:	add	byte ptr [rdi + 0x78], ch
0x237142f000e:	insd	dword ptr [rdi], dx
0x237142f000f:	outsd	dx, dword ptr [rsi]
0x237142f0010:	outsd	dx, dword ptr [rsi]
0x237142f0011:	outsb	dx, byte ptr [rsi]
0x237142f0012:	insb	byte ptr [rdi], dx
0x237142f0013:	imul	ebp, dword ptr [rsi + 0x74], 0x6d6f632e
0x237142f001a:	pop	rsi
0x237142f001b:	add	byte ptr [rax + 0xfff12f], cl"
0,2320,MsMpEng.exe,0x23715660000,0x2371576cfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
00 61 00 6e 00 61 00 67 00 65 00 72 00 57 00 69 .a.n.a.g.e.r.W.i
00 6e 00 64 00 6f 00 77 00 00 00 00 00 00 00 00 .n.d.o.w........
00 00 00 00 00 00 00 00 00 01 00 00 00 12 00 00 ................
00 00 00 f8 27 e2 82 fe 89 48 4b be 00 38 00 80 ....'....HK..8..","
0x23715660000:	add	byte ptr [rcx], ah
0x23715660003:	outsb	dx, byte ptr [rsi]
0x23715660004:	add	byte ptr [rcx], ah
0x23715660007:	add	byte ptr [ebp], ah
0x2371566000b:	jb	0x2371566000d
0x2371566000d:	push	rdi
0x2371566000e:	add	byte ptr [rcx], ch
0x23715660011:	outsb	dx, byte ptr [rsi]
0x23715660012:	add	byte ptr [rax + rax + 0x6f], ah
0x23715660016:	add	byte ptr [rdi], dh
0x23715660019:	add	byte ptr [rax], al
0x2371566001b:	add	byte ptr [rax], al
0x2371566001d:	add	byte ptr [rax], al
0x2371566001f:	add	byte ptr [rax], al
0x23715660021:	add	byte ptr [rax], al
0x23715660023:	add	byte ptr [rax], al
0x23715660025:	add	byte ptr [rax], al
0x23715660027:	add	byte ptr [rax], al
0x23715660029:	add	dword ptr [rax], eax
0x2371566002b:	add	byte ptr [rax], al
0x2371566002d:	adc	al, byte ptr [rax]
0x2371566002f:	add	byte ptr [rax], al
0x23715660031:	add	byte ptr [rax], al
0x23715660033:	clc	"
0,2320,MsMpEng.exe,0x23715150000,0x2371525cfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
56 57 53 55 41 54 41 55 41 56 41 57 48 83 ec 28 VWSUATAUAVAWH..(
4c 8d 3c 24 48 8b e9 48 8d b1 98 38 00 00 ff e2 L.<$H..H...8....
49 8d 67 28 41 5f 41 5e 41 5d 41 5c 5d 5b 5f 5e I.g(A_A^A]A\\][_^
c3 00 00 40 00 80 00 00 00 48 89 e9 48 b8 20 88 ...@.....H..H. .","
0x23715150000:	push	rsi
0x23715150001:	push	rdi
0x23715150002:	push	rbx
0x23715150003:	push	rbp
0x23715150004:	push	r12
0x23715150006:	push	r13
0x23715150008:	push	r14
0x2371515000a:	push	r15
0x2371515000c:	sub	rsp, 0x28
0x23715150010:	lea	r15, [rsp]
0x23715150014:	mov	rbp, rcx
0x23715150017:	lea	rsi, [rcx + 0x3898]
0x2371515001e:	jmp	rdx
0x23715150020:	lea	rsp, [r15 + 0x28]
0x23715150024:	pop	r15
0x23715150026:	pop	r14
0x23715150028:	pop	r13
0x2371515002a:	pop	r12
0x2371515002c:	pop	rbp
0x2371515002d:	pop	rbx
0x2371515002e:	pop	rdi
0x2371515002f:	pop	rsi
0x23715150030:	ret	
0x23715150031:	add	byte ptr [rax], al
0x23715150033:	add	byte ptr [rax + 0x48000000], al
0x2371515003a:	mov	ecx, ebp"
0,4556,SearchApp.exe,0x17cf9910000,0x17cf992ffff,VadS,PAGE_EXECUTE_READWRITE,6,1,Disabled,N/A,"
48 89 54 24 10 48 89 4c 24 08 4c 89 44 24 18 4c H.T$.H.L$.L.D$.L
89 4c 24 20 48 8b 41 28 48 8b 48 08 48 8b 51 50 .L$ H.A(H.H.H.QP
48 83 e2 f8 48 8b ca 48 b8 60 00 91 f9 7c 01 00 H...H..H.`...|..
00 48 2b c8 48 81 f9 70 0f 00 00 76 09 48 c7 c1 .H+.H..p...v.H..","
0x17cf9910000:	mov	qword ptr [rsp + 0x10], rdx
0x17cf9910005:	mov	qword ptr [rsp + 8], rcx
0x17cf991000a:	mov	qword ptr [rsp + 0x18], r8
0x17cf991000f:	mov	qword ptr [rsp + 0x20], r9
0x17cf9910014:	mov	rax, qword ptr [rcx + 0x28]
0x17cf9910018:	mov	rcx, qword ptr [rax + 8]
0x17cf991001c:	mov	rdx, qword ptr [rcx + 0x50]
0x17cf9910020:	and	rdx, 0xfffffffffffffff8
0x17cf9910024:	mov	rcx, rdx
0x17cf9910027:	movabs	rax, 0x17cf9910060
0x17cf9910031:	sub	rcx, rax
0x17cf9910034:	cmp	rcx, 0xf70
0x17cf991003b:	jbe	0x17cf9910046"
0,4556,SearchApp.exe,0x17cfaa90000,0x17cfaaf3fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
48 b8 00 00 00 80 74 01 00 00 48 ff e0 cc cc cc H.....t...H.....
48 b8 00 02 00 80 74 01 00 00 48 ff e0 cc cc cc H.....t...H.....
48 b8 00 10 00 80 74 01 00 00 48 ff e0 cc cc cc H.....t...H.....
48 b8 00 b0 0a 80 74 01 00 00 48 ff e0 cc cc cc H.....t...H.....","
0x17cfaa90000:	movabs	rax, 0x17480000000
0x17cfaa9000a:	jmp	rax
0x17cfaa9000d:	int3	
0x17cfaa9000e:	int3	
0x17cfaa9000f:	int3	
0x17cfaa90010:	movabs	rax, 0x17480000200
0x17cfaa9001a:	jmp	rax
0x17cfaa9001d:	int3	
0x17cfaa9001e:	int3	
0x17cfaa9001f:	int3	
0x17cfaa90020:	movabs	rax, 0x17480001000
0x17cfaa9002a:	jmp	rax
0x17cfaa9002d:	int3	
0x17cfaa9002e:	int3	
0x17cfaa9002f:	int3	
0x17cfaa90030:	movabs	rax, 0x174800ab000
0x17cfaa9003a:	jmp	rax
0x17cfaa9003d:	int3	
0x17cfaa9003e:	int3	
0x17cfaa9003f:	int3	"
0,3444,smartscreen.ex,0x2756fb40000,0x2756fb5ffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
08 0f b7 54 05 00 66 41 23 d4 48 8b cb 66 41 3b ...T..fA#.H..fA;
d6 8b d5 0f 85 e2 fe 06 00 e8 72 0e 00 00 44 8b ..........r...D.
f0 83 f8 04 0f 87 04 ff 06 00 41 bd 00 70 00 00 ..........A..p..
41 3b f7 0f 82 5c ff 06 00 8b 43 14 3b c6 0f 82 A;...\\....C.;...","
0x2756fb40000:	or	byte ptr [rdi], cl
0x2756fb40002:	mov	bh, 0x54
0x2756fb40004:	add	eax, 0x23416600"
