TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,420,csrss.exe,0x7ff7e7930000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeecad0000,0x1f6000,-,-,-1,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea1f0000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea1d0000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea1b0000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea570000,0x2c8000,kernelbase.dll,C:\\Windows\\System32\\kernelbase.dll,-1,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeeb670000,0xbd000,kernel32.dll,C:\\Windows\\System32\\kernel32.dll,-1,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea180000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeeaff0000,0x1a0000,USER32.dll,C:\\Windows\\System32\\USER32.dll,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea540000,0x22000,win32u.dll,C:\\Windows\\System32\\win32u.dll,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeec730000,0x2a000,GDI32.dll,C:\\Windows\\System32\\GDI32.dll,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea2b0000,0x109000,-,-,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea210000,0x9d000,-,-,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeea3c0000,0x100000,-,-,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeeb310000,0x355000,combase.dll,C:\\Windows\\System32\\combase.dll,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,420,csrss.exe,0x7ffeeade0000,0x124000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-03-26 21:21:12.000000 UTC,Disabled
0,636,services.exe,0x7ff7ea850000,0xb0000,services.exe,C:\\Windows\\system32\\services.exe,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeecad0000,0x1f6000,-,-,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeb670000,0xbd000,KERNEL32.DLL,C:\\Windows\\System32\\KERNEL32.DLL,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea570000,0x2c8000,KERNELBASE.dll,C:\\Windows\\System32\\KERNELBASE.dll,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeade0000,0x124000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeb190000,0x9b000,sechost.dll,C:\\Windows\\System32\\sechost.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea4f0000,0x4e000,cfgmgr32.dll,C:\\Windows\\System32\\cfgmgr32.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea3c0000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee9ef0000,0x2c000,DEVOBJ.dll,C:\\Windows\\SYSTEM32\\DEVOBJ.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee9f20000,0x19000,EventAggregation.dll,C:\\Windows\\SYSTEM32\\EventAggregation.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee90c0000,0x93000,scesrv.dll,C:\\Windows\\SYSTEM32\\scesrv.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ff68a6f0000,0x12000,lsass.exe,C:\\Windows\\system32\\lsass.exe,-1,2026-03-26 21:21:13.000000 UTC,Disabled
