TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,636,services.exe,0x7ff7ea850000,0xb0000,services.exe,C:\\Windows\\system32\\services.exe,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeecad0000,0x1f6000,-,-,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeb670000,0xbd000,KERNEL32.DLL,C:\\Windows\\System32\\KERNEL32.DLL,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea570000,0x2c8000,KERNELBASE.dll,C:\\Windows\\System32\\KERNELBASE.dll,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeade0000,0x124000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeb190000,0x9b000,sechost.dll,C:\\Windows\\System32\\sechost.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea4f0000,0x4e000,cfgmgr32.dll,C:\\Windows\\System32\\cfgmgr32.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea3c0000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee9ef0000,0x2c000,DEVOBJ.dll,C:\\Windows\\SYSTEM32\\DEVOBJ.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee9f20000,0x19000,EventAggregation.dll,C:\\Windows\\SYSTEM32\\EventAggregation.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee90c0000,0x93000,scesrv.dll,C:\\Windows\\SYSTEM32\\scesrv.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeec760000,0x9e000,msvcrt.dll,C:\\Windows\\System32\\msvcrt.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea0f0000,0x3c000,sspicli.dll,C:\\Windows\\system32\\sspicli.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee9000000,0x4c000,AUTHZ.dll,C:\\Windows\\system32\\AUTHZ.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee8fc0000,0x32000,WUDFPlatform.dll,C:\\Windows\\SYSTEM32\\WUDFPlatform.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeaf40000,0xac000,advapi32.dll,C:\\Windows\\System32\\advapi32.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeea140000,0x26000,-,-,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffeeaab0000,0x7f000,bcryptPrimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffee7b90000,0x8000,-,-,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,636,services.exe,0x7ffedccf0000,0x28000,srvcli.dll,C:\\Windows\\SYSTEM32\\srvcli.dll,6,2026-03-26 21:21:15.000000 UTC,Disabled
0,636,services.exe,0x7ffeec5d0000,0x6b000,WS2_32.dll,C:\\Windows\\System32\\WS2_32.dll,6,2026-03-26 21:21:16.000000 UTC,Disabled
0,636,services.exe,0x7ffee9930000,0x6a000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,6,2026-03-26 21:21:16.000000 UTC,Disabled
0,636,services.exe,0x7ffed9740000,0x1c000,spinf.dll,C:\\Windows\\SYSTEM32\\spinf.dll,6,2026-03-26 21:21:16.000000 UTC,Disabled
0,636,services.exe,0x7ffee5aa0000,0x16000,usermgrcli.dll,C:\\Windows\\SYSTEM32\\usermgrcli.dll,6,2026-03-26 21:21:20.000000 UTC,Disabled
0,636,services.exe,0x7ffee7bf0000,0x90000,apphelp.dll,C:\\Windows\\system32\\apphelp.dll,-1,2026-03-30 05:33:56.000000 UTC,Disabled
0,660,lsass.exe,0x7ff68a6f0000,0x12000,lsass.exe,C:\\Windows\\system32\\lsass.exe,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeecad0000,0x1f6000,-,-,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeeb670000,0xbd000,KERNEL32.DLL,C:\\Windows\\System32\\KERNEL32.DLL,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeea570000,0x2c8000,KERNELBASE.dll,C:\\Windows\\System32\\KERNELBASE.dll,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeeade0000,0x124000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffee9d50000,0x19d000,lsasrv.dll,C:\\Windows\\system32\\lsasrv.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeea3c0000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeec5d0000,0x6b000,WS2_32.dll,C:\\Windows\\System32\\WS2_32.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeea0f0000,0x3c000,SspiCli.dll,C:\\Windows\\system32\\SspiCli.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeeb190000,0x9b000,sechost.dll,C:\\Windows\\System32\\sechost.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeeb860000,0x56000,WLDAP32.dll,C:\\Windows\\System32\\WLDAP32.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffee9d30000,0x12000,MSASN1.dll,C:\\Windows\\system32\\MSASN1.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffee9c50000,0xdb000,samsrv.dll,C:\\Windows\\SYSTEM32\\samsrv.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeea4c0000,0x27000,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,-1,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeea8a0000,0x15d000,CRYPT32.dll,C:\\Windows\\System32\\CRYPT32.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffee9c20000,0x27000,ncrypt.dll,C:\\Windows\\system32\\ncrypt.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffee9be0000,0x3b000,NTASN1.dll,C:\\Windows\\system32\\NTASN1.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffee9bb0000,0x2c000,Wldp.dll,C:\\Windows\\system32\\Wldp.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeec760000,0x9e000,msvcrt.dll,C:\\Windows\\System32\\msvcrt.dll,6,2026-03-26 21:21:13.000000 UTC,Disabled
0,660,lsass.exe,0x7ffeeaf40000,0xac000,-,-,6,2026-03-26 21:21:13.000000 UTC,Disabled
